title,publication_date,citations,date,year,month,field,subfield,topics,main_writer,all_writers,author_ids
Multi-Task Learning for Design Under Uncertainty With Multi-Fidelity Partially Observed Information,2024-01-12,0,2024-01-12,2024,1,Decision Sciences,"Statistics, Probability and Uncertainty","['Probabilistic and Robust Engineering Design', 'Advanced Multi-Objective Optimization Algorithms', 'Optimal Experimental Design Methods']",Hao Wu,"['Hao Wu', 'Zheng Liu']","['https://openalex.org/A5007429408', 'https://openalex.org/A5100423721']"
An updated global mercury budget from a coupled atmosphere-land-ocean model: 40% more re-emissions buffer the effect of primary emission reductions,2023-03-01,0,2023-03-01,2023,3,Environmental Science,"Health, Toxicology and Mutagenesis","['Mercury impact and mitigation studies', 'Toxic Organic Pollutants Impact', 'Atmospheric and Environmental Gas Dynamics']",Peng Zhang,"['Peng Zhang', 'Long Chen', 'Jun Zhou']","['https://openalex.org/A5100364183', 'https://openalex.org/A5100336376', 'https://openalex.org/A5062889891']"
Genetic drivers and cellular selection of female mosaic X chromosome loss,2024-06-12,0,2024-06-12,2024,6,"Biochemistry, Genetics and Molecular Biology",Genetics,"['Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities', 'Immune Cell Function and Interaction', 'T-cell and B-cell Immunology']",Neal D. Freedman,"['Neal D. Freedman', 'Aarno Palotie', 'Stephen J. Chanock', 'Pradeep Natarajan', 'Mark J. Daly', 'Alexander G. Bick']","['https://openalex.org/A5089976309', 'https://openalex.org/A5085708490', 'https://openalex.org/A5091653870', 'https://openalex.org/A5047884631', 'https://openalex.org/A5107596541', 'https://openalex.org/A5012759454']"
Predictive biomarkers for treatment with amivantamab plus lazertinib among <i>EGFR</i>-mutated NSCLC in the post-osimertinib setting: Analysis of tissue IHC and ctDNA NGS.,2023-06-01,0,2023-06-01,2023,6,"Biochemistry, Genetics and Molecular Biology",Cancer Research,"['Cancer Genomics and Diagnostics', 'Lung Cancer Treatments and Mutations', 'Colorectal Cancer Treatments and Studies']",Byoung Chul Cho,"['Byoung Chul Cho', 'Enriqueta Felip']","['https://openalex.org/A5064697305', 'https://openalex.org/A5090324173']"
RenderOcc: Vision-Centric 3D Occupancy Prediction with 2D Rendering Supervision,2024-05-13,0,2024-05-13,2024,5,Engineering,Computational Mechanics,"['3D Shape Modeling and Analysis', 'Advanced Vision and Imaging', 'Computer Graphics and Visualization Techniques']",Bing Wang,"['Bing Wang', 'Li Liu']","['https://openalex.org/A5100382565', 'https://openalex.org/A5100418783']"
Realization of molecular models as heterogeneous electrocatalysts for activation of dioxygen,2023-07-12,0,2023-07-12,2023,7,Energy,"Renewable Energy, Sustainability and the Environment","['Electrocatalysts for Energy Conversion', 'Electrochemical Analysis and Applications', 'Metal-Organic Frameworks: Synthesis and Applications']",Anuj Kumar,"['Anuj Kumar', 'Ram K. Gupta']","['https://openalex.org/A5087525540', 'https://openalex.org/A5091126286']"
An attention-based context-informed deep framework for infant brain subcortical segmentation,2023-02-04,0,2023-02-04,2023,2,Medicine,"Pediatrics, Perinatology and Child Health","['Neonatal and fetal brain pathology', 'Fetal and Pediatric Neurological Disorders', 'Domain Adaptation and Few-Shot Learning']",Gang Li,"['Li Wang', 'Gang Li']","['https://openalex.org/A5100336197', 'https://openalex.org/A5100438653']"
Analysis and validation of diagnostic biomarkers and immune cell infiltration characteristics in pediatric sepsis by integrating bioinformatics and machine learning,2023-04-28,0,2023-04-28,2023,4,Medicine,Epidemiology,"['Sepsis Diagnosis and Treatment', 'Inflammation biomarkers and pathways', 'Neonatal and Maternal Infections']",Hui Li,"['Hui Li', 'Kai Zhang']","['https://openalex.org/A5100423922', 'https://openalex.org/A5100324049']"
Kidney function and cardiovascular diseases: a large-scale observational and Mendelian randomization study,2023-07-17,0,2023-07-17,2023,7,Medicine,Nephrology,"['Chronic Kidney Disease and Diabetes', 'Dialysis and Renal Disease Management', 'Genetic Associations and Epidemiology']",Bo Hu,"['Yiming Li', 'Bo Hu']","['https://openalex.org/A5100346353', 'https://openalex.org/A5100613772']"
Impact of dipeptide on ADC physicochemical properties and efficacy identifies Ala–Ala as the optimal dipeptide,2023-11-27,0,2023-11-27,2023,11,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Receptor Mechanisms and Signaling', 'Chemical Synthesis and Analysis', 'Monoclonal and Polyclonal Antibodies Research']",Lu Wang,"['Lu Wang', 'Xiang Li']","['https://openalex.org/A5100364538', 'https://openalex.org/A5100331061']"
"Wei Chang An pill alleviates 2,4,6-trinitro-benzenesulfonic acid-induced ulcerative colitis by inhibiting epithelial-mesenchymal transition process",2023-03-30,0,2023-03-30,2023,3,"Biochemistry, Genetics and Molecular Biology",Genetics,"['Inflammatory Bowel Disease', 'Immune cells in cancer', 'Cytokine Signaling Pathways and Interactions']",Yi Wang,"['Meng Wang', 'Min Zhang', 'Lin Wang', 'Han Zhang', 'Yi Wang', 'Peng Zhang']","['https://openalex.org/A5100377151', 'https://openalex.org/A5100402998', 'https://openalex.org/A5100403159', 'https://openalex.org/A5100399383', 'https://openalex.org/A5100364902', 'https://openalex.org/A5100364154']"
"Trends in Disparities and Transitions of Treatment in Patients With Early Breast Cancer in China and the US, 2011 to 2021",2023-06-30,0,2023-06-30,2023,6,Medicine,Oncology,"['Global Cancer Incidence and Screening', 'Breast Cancer Treatment Studies', 'Cancer Risks and Factors']",Qiang Liu,"['Qiang Liu', 'Kun Wang']","['https://openalex.org/A5100409479', 'https://openalex.org/A5103146383']"
Engineering irradiated tumor-derived microparticles as personalized vaccines to enhance anti-tumor immunity,2023-11-28,0,2023-11-28,2023,11,Immunology and Microbiology,Immunology,"['Immune cells in cancer', 'Extracellular vesicles in disease', 'Immunotherapy and Immune Responses']",Yu Tian,"['Yu Tian', 'Yan Hu', 'Yang Xiao', 'Bin Zhang', 'Jing Huang']","['https://openalex.org/A5101840347', 'https://openalex.org/A5101655893', 'https://openalex.org/A5100740881', 'https://openalex.org/A5100392907', 'https://openalex.org/A5065509019']"
"An Energy-Reduced Mediterranean Diet, Physical Activity, and Body Composition",2023-10-18,0,2023-10-18,2023,10,Medicine,"Public Health, Environmental and Occupational Health","['Nutritional Studies and Diet', 'Nutrition and Health in Aging', 'Obesity, Physical Activity, Diet']",Frank B. Hu,"['Frank B. Hu', 'Miguel Ángel Martínez‐González', 'Jordi Salas‐Salvadó']","['https://openalex.org/A5056459536', 'https://openalex.org/A5056804384', 'https://openalex.org/A5013081933']"
Tracing the rise of supermassive black holes,2024-02-06,0,2024-02-06,2024,2,Physics and Astronomy,Astronomy and Astrophysics,"['Galaxies: Formation, Evolution, Phenomena', 'Astrophysical Phenomena and Observations', 'Astronomy and Astrophysical Research']",Caitlin M. Casey,"['Caitlin M. Casey', 'Christopher C. Hayward', 'Michaela Hirschmann', 'Anton M. Koekemoer', 'Vasily Kokorev', 'Stephen M. Wilkins']","['https://openalex.org/A5051114623', 'https://openalex.org/A5039703536', 'https://openalex.org/A5091006390', 'https://openalex.org/A5043083140', 'https://openalex.org/A5022718410', 'https://openalex.org/A5010294483']"
Inactivation of Microcystis aeruginosa by H2O2 generated from a carbon black polytetrafluoroethylene gas diffusion electrode in electrolysis by low-amperage electric current,2023-02-17,0,2023-02-17,2023,2,Environmental Science,Water Science and Technology,"['Advanced oxidation water treatment', 'Aquatic Ecosystems and Phytoplankton Dynamics', 'Marine Toxins and Detection Methods']",Li Lin,"['Li Lin', 'Min Liu']","['https://openalex.org/A5101436186', 'https://openalex.org/A5100343920']"
Radio AGN selection and characterization in three Deep-Drilling Fields of the Vera C. Rubin Observatory Legacy Survey of Space and Time,2023-04-24,0,2023-04-24,2023,4,Physics and Astronomy,Astronomy and Astrophysics,"['Galaxies: Formation, Evolution, Phenomena', 'Astrophysics and Cosmic Phenomena', 'Radio Astronomy Observations and Technology']",Bin Luo,"['Bin Luo', 'Wei Yan']","['https://openalex.org/A5073104000', 'https://openalex.org/A5019441351']"
Effect of scan powder and scanning technology on measured deviations of complete-arch implant supported frameworks digitized with industrial and intraoral scanners,2023-10-05,0,2023-10-05,2023,10,Dentistry,Orthodontics,"['Dental materials and restorations', 'Dental Implant Techniques and Outcomes', 'Endodontics and Root Canal Treatments']",Marta Revilla‐León,"['Marta Revilla‐León', 'Burak Yılmaz']","['https://openalex.org/A5047063007', 'https://openalex.org/A5078776935']"
"Nematic Bogoliubov Fermi surfaces from magnetic toroidal order in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>FeSe</mml:mi><mml:mrow><mml:mn>1</mml:mn><mml:mo>−</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub><mml:msub><mml:mi mathvariant=""normal"">S</mml:mi><mml:mi>x</mml:mi></mml:msub></mml:mrow></mml:math>",2024-06-10,0,2024-06-10,2024,6,Materials Science,"Electronic, Optical and Magnetic Materials","['Iron-based superconductors research', 'Physics of Superconductivity and Magnetism', 'Rare-earth and actinide compounds']",Hao Wu,"['Hao Wu', 'Yue Yu']","['https://openalex.org/A5103175549', 'https://openalex.org/A5100397990']"
Racial and ethnic disparities in alcohol-associated liver disease in the United States: A systematic review and meta-analysis,2024-03-18,0,2024-03-18,2024,3,Medicine,Pathology and Forensic Medicine,"['Alcohol Consumption and Health Effects', 'Liver Disease Diagnosis and Treatment', 'Liver Disease and Transplantation']",Juan Pablo Arab,"['Juan Pablo Arab', 'Amit G. Singal']","['https://openalex.org/A5049575058', 'https://openalex.org/A5014214683']"
CCR2 monocytes as therapeutic targets for acute disc herniation and radiculopathy in mouse models,2023-10-05,0,2023-10-05,2023,10,Medicine,Pathology and Forensic Medicine,"['Spine and Intervertebral Disc Pathology', 'Spinal Cord Injury Research', 'Spinal Hematomas and Complications']",Jin Li,"['Jin Li', 'Yi Zhang']","['https://openalex.org/A5102020074', 'https://openalex.org/A5100458989']"
Diagnostic accuracy and safety of EUS-guided end-cutting fine-needle biopsy needles for tissue sampling of abdominal and mediastinal lymphadenopathies: a prospective multicenter series,2023-03-27,0,2023-03-27,2023,3,Medicine,Surgery,"['Lymphadenopathy Diagnosis and Analysis', 'Lymphoma Diagnosis and Treatment', 'Infectious Diseases and Mycology']",Antonio Facciorusso,"['Antonio Facciorusso', 'Cesare Hassan', 'Alessandro Repici']","['https://openalex.org/A5010071655', 'https://openalex.org/A5010158984', 'https://openalex.org/A5020927144']"
Molecular Mechanisms of Ischemic Stroke: A Review Integrating Clinical Imaging and Therapeutic Perspectives,2024-04-07,0,2024-04-07,2024,4,Medicine,Epidemiology,"['Acute Ischemic Stroke Management', 'Cerebrovascular and Carotid Artery Diseases', 'Antiplatelet Therapy and Cardiovascular Diseases']",Dhairya A. Lakhani,"['Dhairya A. Lakhani', 'Vivek Yedavalli']","['https://openalex.org/A5040297847', 'https://openalex.org/A5083117505']"
"Tetracycline-, Doxycycline-, Minocycline-Induced Pseudotumor Cerebri and Esophageal Perforation",2023-02-10,0,2023-02-10,2023,2,Medicine,Neurology,"['Cerebral Venous Sinus Thrombosis', 'Pathogenesis and Treatment of Hiccups', 'Otolaryngology and Infectious Diseases']",Sahar Shekoohi,"['Sahar Shekoohi', 'Alan D. Kaye']","['https://openalex.org/A5060374510', 'https://openalex.org/A5018558604']"
Examination of long-time aging process on volatile organic compounds emitted from solid fuel combustion in a rural area of China,2023-05-16,0,2023-05-16,2023,5,Earth and Planetary Sciences,Atmospheric Science,"['Atmospheric chemistry and aerosols', 'Air Quality and Health Impacts', 'Catalytic Processes in Materials Science']",Bin Zhang,"['Bin Zhang', 'Jian Sun']","['https://openalex.org/A5074502609', 'https://openalex.org/A5100429011']"
Particulate Matter Air Pollution and Long-Term Outcomes in Patients Undergoing Percutaneous Coronary Intervention,2023-02-24,0,2023-02-24,2023,2,Environmental Science,"Health, Toxicology and Mutagenesis","['Air Quality and Health Impacts', 'Climate Change and Health Impacts', 'Air Quality Monitoring and Forecasting']",Sadeer Al‐Kindi,"['Zhuo Chen', 'Sanjay Rajagopalan', 'Sadeer Al‐Kindi']","['https://openalex.org/A5043351867', 'https://openalex.org/A5022334933', 'https://openalex.org/A5041444092']"
Importance of periphytic biofilms for carbon cycling in paddy fields: A review,2023-03-08,0,2023-03-08,2023,3,Environmental Science,Ecology,"['Microbial Community Ecology and Physiology', 'Soil Carbon and Nitrogen Dynamics', 'Microbial Fuel Cells and Bioremediation']",Lei Zhou,"['Lei Zhou', 'Ying Xu']","['https://openalex.org/A5063423263', 'https://openalex.org/A5100686774']"
Single-Atom Iron Can Steer Atomic Hydrogen toward Selective Reductive Dechlorination: Implications for Remediation of Chlorinated Solvents-Impacted Groundwater,2024-06-24,0,2024-06-24,2024,6,Engineering,Biomedical Engineering,"['Environmental remediation with nanomaterials', 'Nanomaterials for catalytic reactions', 'Advanced oxidation water treatment']",Tong Zhang,"['Tong Zhang', 'Wei Chen']","['https://openalex.org/A5100378803', 'https://openalex.org/A5100344556']"
A rapid inducible RNA decay system reveals fast mRNA decay in P-bodies,2024-03-28,0,2024-03-28,2024,3,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['RNA Research and Splicing', 'RNA modifications and cancer', 'RNA and protein synthesis mechanisms']",Yang Liu,"['Yang Liu', 'Bin Wu']","['https://openalex.org/A5100355651', 'https://openalex.org/A5090868384']"
"Novel non-MRI imaging techniques for primary diagnosis of prostate cancer: micro-ultrasound, contrast-enhanced ultrasound, elastography, multiparametric ultrasound, and PSMA PET/CT",2023-08-05,0,2023-08-05,2023,8,Medicine,Pulmonary and Respiratory Medicine,"['Prostate Cancer Diagnosis and Treatment', 'Prostate Cancer Treatment and Research', 'MRI in cancer diagnosis']",Alessandro Antonelli,"['Alessandro Antonelli', 'Riccardo Autorino']","['https://openalex.org/A5070567916', 'https://openalex.org/A5050834286']"
Outcomes of Cytoreductive Radical Prostatectomy for Oligometastatic Prostate Cancer on Prostate-specific Membrane Antigen Positron Emission Tomography: Results of a Multicenter European Study,2023-10-14,0,2023-10-14,2023,10,Medicine,Pulmonary and Respiratory Medicine,"['Prostate Cancer Treatment and Research', 'Prostate Cancer Diagnosis and Treatment', 'Urologic and reproductive health conditions']",Shahrokh F. Shariat,"['Alberto Briganti', 'Shahrokh F. Shariat']","['https://openalex.org/A5031550729', 'https://openalex.org/A5079401169']"
Fe-phthalocyanine derived highly conjugated 2D covalent organic framework as superior electrocatalyst for oxygen reduction reaction,2023-09-04,0,2023-09-04,2023,9,Energy,"Renewable Energy, Sustainability and the Environment","['Electrocatalysts for Energy Conversion', 'Covalent Organic Framework Applications', 'Advanced Photocatalysis Techniques']",Anuj Kumar,"['Anuj Kumar', 'Ram K. Gupta']","['https://openalex.org/A5087525540', 'https://openalex.org/A5091126286']"
Efficient multicarbon formation in acidic CO2 reduction via tandem electrocatalysis,2023-11-23,0,2023-11-23,2023,11,Energy,"Renewable Energy, Sustainability and the Environment","['CO2 Reduction Techniques and Catalysts', 'Ionic liquids properties and applications', 'Electrocatalysts for Energy Conversion']",Xiaoyan Li,"['Xiaoyan Li', 'Yi Xu', 'Yong Zhao', 'Edward H. Sargent']","['https://openalex.org/A5100459438', 'https://openalex.org/A5012899479', 'https://openalex.org/A5085864215', 'https://openalex.org/A5054680242']"
Spatial modeling and analysis approach for ship-encounters dynamic spatial–temporal domain,2023-04-14,0,2023-04-14,2023,4,Engineering,Ocean Engineering,"['Maritime Navigation and Safety', 'Ship Hydrodynamics and Maneuverability', 'Structural Integrity and Reliability Analysis']",Ying Li,"['Ying Li', 'Bing Han']","['https://openalex.org/A5100710018', 'https://openalex.org/A5100690518']"
Ferroptosis in immunostimulation and immunosuppression,2023-07-09,0,2023-07-09,2023,7,Medicine,Pulmonary and Respiratory Medicine,"['Ferroptosis and cancer prognosis', 'Cancer, Lipids, and Metabolism', 'Circular RNAs in diseases']",Daolin Tang,"['Daolin Tang', 'Rui Kang']","['https://openalex.org/A5055468442', 'https://openalex.org/A5091664811']"
TP53-mediated clonal hematopoiesis confers increased risk for incident atherosclerotic disease,2023-01-16,0,2023-01-16,2023,1,Medicine,Hematology,"['Acute Myeloid Leukemia Research', 'Single-cell and spatial transcriptomics', 'Cancer Genomics and Diagnostics']",Christie M. Ballantyne,"['Christie M. Ballantyne', 'Benjamin L. Ebert', 'Peter Libby', 'Valentı́n Fuster', 'Hongyu Zhao', 'Pradeep Natarajan', 'Alexander G. Bick']","['https://openalex.org/A5052604218', 'https://openalex.org/A5070668676', 'https://openalex.org/A5043201732', 'https://openalex.org/A5074727212', 'https://openalex.org/A5074828414', 'https://openalex.org/A5047884631', 'https://openalex.org/A5012759454']"
Integrative polygenic risk score improves the prediction accuracy of complex traits and diseases,2023-02-26,0,2023-02-26,2023,2,"Biochemistry, Genetics and Molecular Biology",Genetics,"['Genetic Associations and Epidemiology', 'Liver Disease Diagnosis and Treatment', 'Metabolomics and Mass Spectrometry Studies']",Pradeep Natarajan,"['Ying Wang', 'Pradeep Natarajan']","['https://openalex.org/A5075598991', 'https://openalex.org/A5047884631']"
"7-Oxa-2,3-Diazanorbornene: A One-Step Accessible Monomer for Living Ring-Opening Metathesis Polymerization to Produce Backbone-Biodegradable Polymers",2024-01-23,0,2024-01-23,2024,1,Chemistry,Organic Chemistry,"['Synthetic Organic Chemistry Methods', 'biodegradable polymer synthesis and properties', 'Polymer Surface Interaction Studies']",Yu Wang,"['Yu Wang', 'Wei Li']","['https://openalex.org/A5034839565', 'https://openalex.org/A5100318214']"
Observation of quadrupolar and dipolar excitons in a semiconductor heterotrilayer,2023-10-19,0,2023-10-19,2023,10,Engineering,Electrical and Electronic Engineering,"['Perovskite Materials and Applications', '2D Materials and Applications', 'Quantum Dots Synthesis And Properties']",Kenji Watanabe,"['Kenji Watanabe', 'Takashi Taniguchi']","['https://openalex.org/A5045096283', 'https://openalex.org/A5041573207']"
Hierarchical Time-Series Assessment and Control for Transient Stability Enhancement in Islanded Microgrids,2023-01-18,0,2023-01-18,2023,1,Engineering,Control and Systems Engineering,"['Microgrid Control and Optimization', 'Islanding Detection in Power Systems', 'Power System Optimization and Stability']",Yang Shen,"['Yang Shen', 'Mohammad Shahidehpour']","['https://openalex.org/A5101483678', 'https://openalex.org/A5062440795']"
Trivalent mosaic or consensus HIV immunogens prime humoral and broader cellular immune responses in adults,2023-02-14,0,2023-02-14,2023,2,Immunology and Microbiology,Virology,"['HIV Research and Treatment', 'Immune Cell Function and Interaction', 'T-cell and B-cell Immunology']",Kenneth H. Mayer,"['Kenneth H. Mayer', 'David C. Montefiori', 'Lindsey R. Baden']","['https://openalex.org/A5025150770', 'https://openalex.org/A5004036928', 'https://openalex.org/A5091029647']"
Tenecteplase for Stroke at 4.5 to 24 Hours with Perfusion-Imaging Selection,2024-02-08,0,2024-02-08,2024,2,Medicine,Epidemiology,"['Acute Ischemic Stroke Management', 'Cerebrovascular and Carotid Artery Diseases', 'Stroke Rehabilitation and Recovery']",Gregory W. Albers,"['Gregory W. Albers', 'Ming Yang', 'David S. Liebeskind', 'Lee H. Schwamm', 'Bruce Campbell']","['https://openalex.org/A5024460519', 'https://openalex.org/A5101906828', 'https://openalex.org/A5022823811', 'https://openalex.org/A5088527297', 'https://openalex.org/A5074508324']"
A single inactivating amino acid change in the SARS-CoV-2 NSP3 Mac1 domain attenuates viral replication in vivo,2023-08-31,0,2023-08-31,2023,8,Medicine,Oncology,"['PARP inhibition in cancer therapy', 'SARS-CoV-2 and COVID-19 Research', 'CRISPR and Genetic Engineering']",Luis Martínez‐Sobrido,"['Luis Martínez‐Sobrido', 'Nevan J. Krogan']","['https://openalex.org/A5065326739', 'https://openalex.org/A5026080576']"
Diagnosis and endovascular management of vasospasm after aneurysmal subarachnoid hemorrhage — survey of real-life practices,2023-07-27,0,2023-07-27,2023,7,Medicine,Neurology,"['Intracranial Aneurysms: Treatment and Complications', 'Traumatic Brain Injury and Neurovascular Disturbances', 'Neurosurgical Procedures and Complications']",Adrien Guenego,"['Adrien Guenego', 'Tobias D. Faizy', 'Pascal Jabbour', 'Adam A. Dmytriw', 'Jeremy J. Heit', 'Jens Fiehler']","['https://openalex.org/A5087580440', 'https://openalex.org/A5009601688', 'https://openalex.org/A5110767641', 'https://openalex.org/A5046667160', 'https://openalex.org/A5000937822', 'https://openalex.org/A5061175108']"
Transperineal vs transrectal magnetic resonance and ultrasound image fusion prostate biopsy: a pair-matched comparison,2023-08-18,0,2023-08-18,2023,8,Medicine,Pulmonary and Respiratory Medicine,"['Prostate Cancer Diagnosis and Treatment', 'Prostate Cancer Treatment and Research', 'Urologic and reproductive health conditions']",Giovanni Cacciamani,"['Giovanni Cacciamani', 'Inderbir S. Gill']","['https://openalex.org/A5062586182', 'https://openalex.org/A5047742848']"
Integrative multi-omics profiling in human decedents receiving pig heart xenografts,2024-05-01,0,2024-05-01,2024,5,Medicine,Surgery,"['Xenotransplantation and immune response', 'Transplantation: Methods and Outcomes', 'T-cell and B-cell Immunology']",Manolis Kellis,"['Manolis Kellis', 'M Snyder']","['https://openalex.org/A5089977648', 'https://openalex.org/A5024120181']"
2024 ESC Guidelines for the management of peripheral arterial and aortic diseases,2024-08-30,0,2024-08-30,2024,8,Medicine,Surgery,"['Peripheral Artery Disease Management', 'Aortic aneurysm repair treatments', 'Cerebrovascular and Carotid Artery Diseases']",Michael Böhm,"['Michael Böhm', 'Lars Køber']","['https://openalex.org/A5008678419', 'https://openalex.org/A5033436516']"
Stabilizing *CO<sub>2</sub> Intermediates at the Acidic Interface using Molecularly Dispersed Cobalt Phthalocyanine as Catalysts for CO<sub>2</sub> Reduction,2024-01-05,0,2024-01-05,2024,1,Energy,"Renewable Energy, Sustainability and the Environment","['CO2 Reduction Techniques and Catalysts', 'Ionic liquids properties and applications', 'Advanced battery technologies research']",Xiaojun Wang,"['Xiaojun Wang', 'Wei Zhao', 'Xing Zhang']","['https://openalex.org/A5021189837', 'https://openalex.org/A5100864739', 'https://openalex.org/A5100399118']"
Mosunetuzumab Plus Polatuzumab Vedotin Demonstrates a Favorable Safety Profile and Efficacy in Patients (Pts) with Relapsed or Refractory (R/R) Large B-Cell Lymphoma (LBCL): Primary Analysis of a Phase Ib/II Study,2023-11-02,0,2023-11-02,2023,11,Medicine,Oncology,"['CAR-T cell therapy research', 'Monoclonal and Polyclonal Antibodies Research', 'Lymphoma Diagnosis and Treatment']",Lihua E. Budde,"['Lihua E. Budde', 'Hao Wu']","['https://openalex.org/A5082326885', 'https://openalex.org/A5100448245']"
"Utility of a PAX2, PTEN, and β-catenin Panel in the Diagnosis of Atypical Hyperplasia/Endometrioid Intraepithelial Neoplasia in Endometrial Polyps",2023-06-14,0,2023-06-14,2023,6,Medicine,Obstetrics and Gynecology,"['Endometrial and Cervical Cancer Treatments', 'Endometriosis Research and Treatment']",Yan Wang,"['Yan Wang', 'Hao Chen']","['https://openalex.org/A5100322919', 'https://openalex.org/A5100353573']"
"MRI-derived radiomics assessing tumor-infiltrating macrophages enable prediction of immune-phenotype, immunotherapy response and survival in glioma",2024-01-31,0,2024-01-31,2024,1,Medicine,Genetics,"['Glioma Diagnosis and Treatment', 'Cancer Immunotherapy and Biomarkers', 'Radiomics and Machine Learning in Medical Imaging']",Jun Zhang,"['Rui Zhang', 'Jing Wang', 'Jun Zhang', 'Xin Gao']","['https://openalex.org/A5100422069', 'https://openalex.org/A5100378341', 'https://openalex.org/A5108063842', 'https://openalex.org/A5074960174']"
USP7-Based Deubiquitinase-Targeting Chimeras Stabilize AMPK,2024-04-10,0,2024-04-10,2024,4,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Ubiquitin and proteasome pathways', 'Protein Degradation and Inhibitors', 'Autophagy in Disease and Therapy']",Jing Liu,"['Jing Liu', 'Li Chen', 'Zhen Wang', 'João A. Paulo', 'Jian Jin']","['https://openalex.org/A5100374990', 'https://openalex.org/A5100379337', 'https://openalex.org/A5100422461', 'https://openalex.org/A5026734370', 'https://openalex.org/A5035411478']"
Aspirin for Metabolic Dysfunction–Associated Steatotic Liver Disease Without Cirrhosis,2024-03-19,0,2024-03-19,2024,3,Medicine,Epidemiology,"['Liver Disease Diagnosis and Treatment', 'Liver Disease and Transplantation', 'Liver Diseases and Immunity']",Rohit Loomba,"['Rohit Loomba', 'Andrew T. Chan']","['https://openalex.org/A5052059601', 'https://openalex.org/A5068835941']"
Discovery of CBPD-268 as an Exceptionally Potent and Orally Efficacious CBP/p300 PROTAC Degrader Capable of Achieving Tumor Regression,2024-03-13,0,2024-03-13,2024,3,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Protein Degradation and Inhibitors', 'Ubiquitin and proteasome pathways', 'Peptidase Inhibition and Analysis']",Yu Wang,"['Yu Wang', 'Lu Wang', 'Bo Wen']","['https://openalex.org/A5100445250', 'https://openalex.org/A5100364558', 'https://openalex.org/A5046488682']"
"Genomes, fossils, and the concurrent rise of modern birds and flowering plants in the Late Cretaceous",2024-02-12,0,2024-02-12,2024,2,Earth and Planetary Sciences,Paleontology,"['Evolution and Paleontology Studies', 'Paleontology and Evolutionary Biology', 'Genomics and Phylogenetic Studies']",Jin Zhang,"['Jin Zhang', 'Lei Zhang', 'Min Wang']","['https://openalex.org/A5100405987', 'https://openalex.org/A5101969719', 'https://openalex.org/A5100689602']"
A warm Neptune’s methane reveals core mass and vigorous atmospheric mixing,2024-05-20,0,2024-05-20,2024,5,Physics and Astronomy,Astronomy and Astrophysics,"['Astro and Planetary Science', 'Methane Hydrates and Related Phenomena', 'Atmospheric and Environmental Gas Dynamics']",Néstor Espinoza,"['Néstor Espinoza', 'R. Maiolino']","['https://openalex.org/A5054374420', 'https://openalex.org/A5020335855']"
Target Selection and Validation of DESI Luminous Red Galaxies,2023-01-18,0,2023-01-18,2023,1,Physics and Astronomy,Astronomy and Astrophysics,"['Galaxies: Formation, Evolution, Phenomena', 'Astrophysics and Cosmic Phenomena', 'Astronomy and Astrophysical Research']",Zhimin Zhou,"['Daniel J. Eisenstein', 'Kyle Dawson', 'J. Guy', 'Hu Zou', 'J. Aguilar', 'S. P. Ahlen', 'D. Brooks', 'Axel de la Macorra', 'Arjun Dey', 'K. Fanning', 'Andreu Font-Ribera', 'Satya Gontcho A Gontcho', 'K. Honscheid', 'Theodore Kisner', 'A. Kremin', 'Martin Landriau', 'M. E. Levi', 'Paul Martini', 'Aaron M. Meisner', 'R. Miquel', 'John Moustakas', 'Jundan Nie', 'N. Palanque‐Delabrouille', 'Will J. Percival', 'Claire Poppett', 'Francisco Prada', 'Ashley J. Ross', 'David J. Schlegel', 'M. Schubnell', 'G. Tarlé', 'Zhimin Zhou']","['https://openalex.org/A5063809341', 'https://openalex.org/A5027883460', 'https://openalex.org/A5055574861', 'https://openalex.org/A5106276864', 'https://openalex.org/A5053818740', 'https://openalex.org/A5075805130', 'https://openalex.org/A5007237947', 'https://openalex.org/A5036122402', 'https://openalex.org/A5071749959', 'https://openalex.org/A5113165093', 'https://openalex.org/A5028921959', 'https://openalex.org/A5056315122', 'https://openalex.org/A5063161579', 'https://openalex.org/A5080202253', 'https://openalex.org/A5055544486', 'https://openalex.org/A5038903058', 'https://openalex.org/A5045810594', 'https://openalex.org/A5007857570', 'https://openalex.org/A5077981456', 'https://openalex.org/A5079346398', 'https://openalex.org/A5085992419', 'https://openalex.org/A5044288365', 'https://openalex.org/A5025148747', 'https://openalex.org/A5001753424', 'https://openalex.org/A5088119124', 'https://openalex.org/A5111403250', 'https://openalex.org/A5058815173', 'https://openalex.org/A5035557006', 'https://openalex.org/A5017659307', 'https://openalex.org/A5027821782', 'https://openalex.org/A5100406525']"
